bandwidth;positions;euclidean_error;ftms;seed;x_calculated;y_calculated
20;3;3.5;6;100;-2.56468;2.37536
20;4;0.2;6;100;-0.1247;0.15894
20;5;0.42;6;100;-0.38166;-0.16312
20;6;0.35;6;100;-0.33532;-0.09671
20;7;0.39;6;100;-0.39048;0.01724
20;8;0.25;6;100;-0.25451;-0.01208
20;9;0.23;6;100;-0.17106;-0.15834
20;10;0.31;6;100;-0.17117;-0.26193
20;3;2.78;6;10;1.51262;2.33128
20;4;1.63;6;10;0.76204;1.43839
20;5;1.79;6;10;1.11829;1.39626
20;6;0.56;6;10;0.41771;0.37866
20;7;0.52;6;10;0.30985;0.42147
20;8;0.29;6;10;0.12883;0.26215
20;9;0.22;6;10;0.07114;0.20306
20;10;0.17;6;10;0.03571;0.16147
20;3;0.25;6;11;-0.11408;-0.21743
20;4;0.81;6;11;-0.40509;-0.69739
20;5;0.8;6;11;-0.40801;-0.6854
20;6;0.79;6;11;-0.35371;-0.71187
20;7;0.56;6;11;-0.40038;-0.39461
20;8;0.55;6;11;-0.37585;-0.40479
20;9;0.25;6;11;-0.09255;-0.23665
20;10;0.19;6;11;0.001;-0.18889
20;3;1.03;6;12;-0.69902;0.75611
20;4;1.2;6;12;-0.76498;0.92949
20;5;1.12;6;12;-0.67653;0.89849
20;6;0.57;6;12;-0.28438;0.49962
20;7;0.94;6;12;-0.59567;0.73067
20;8;0.99;6;12;-0.49588;0.852
20;9;0.99;6;12;-0.51082;0.85073
20;10;0.98;6;12;-0.44034;0.87042
20;3;1.17;6;13;0.99462;0.60686
20;4;1.16;6;13;0.98769;0.61491
20;5;0.87;6;13;0.76047;0.43077
20;6;0.93;6;13;0.70953;0.60792
20;7;0.8;6;13;0.62282;0.49986
20;8;0.71;6;13;0.56743;0.4278
20;9;0.71;6;13;0.54047;0.45931
20;10;0.71;6;13;0.54187;0.45794
20;3;10.43;6;14;8.70415;5.73891
20;4;0.55;6;14;0.44793;0.31271
20;5;0.33;6;14;0.33051;0.02429
20;6;0.26;6;14;0.0604;0.2486
20;7;0.27;6;14;0.05719;0.26791
20;8;0.31;6;14;0.09725;0.2941
20;9;0.29;6;14;0.0717;0.28069
20;10;0.49;6;14;-0.15803;0.45883
20;3;3.02;6;15;2.09227;-2.1811
20;4;1.44;6;15;1.30003;-0.62177
20;5;1.04;6;15;1.03203;-0.10767
20;6;1.04;6;15;1.04087;0.01399
20;7;0.92;6;15;0.89995;0.16879
20;8;0.73;6;15;0.64736;0.33392
20;9;0.32;6;15;0.30158;0.09479
20;10;0.32;6;15;0.31495;0.07825
20;3;9.4;6;16;-5.37897;-7.70911
20;4;0.22;6;16;-0.2124;0.03992
20;5;0.34;6;16;0.20567;-0.27457
20;6;0.4;6;16;-0.01748;-0.39998
20;7;0.43;6;16;-0.06979;-0.41986
20;8;0.5;6;16;0.03593;-0.49593
20;9;0.43;6;16;-0.29632;-0.30521
20;10;0.3;6;16;-0.14786;-0.26218
20;3;0.34;6;17;0.21215;-0.26294
20;4;0.31;6;17;-0.27289;-0.1468
20;5;0.3;6;17;-0.26665;-0.14667
20;6;0.31;6;17;-0.26215;-0.16195
20;7;0.41;6;17;-0.13705;-0.39019
20;8;0.24;6;17;0.23605;-0.02354
20;9;0.08;6;17;0.07918;0.02685
20;10;0.1;6;17;0.09337;0.0455
20;3;1.62;6;18;1.14035;1.1554
20;4;1.53;6;18;0.96127;1.1854
20;5;1.41;6;18;0.99329;1.00446
20;6;1.25;6;18;0.73812;1.0145
20;7;1.23;6;18;0.71623;1.00446
20;8;1.24;6;18;0.74664;0.9877
20;9;1.24;6;18;0.74496;0.98798
20;10;1.07;6;18;0.71044;0.79806
20;3;4.41;6;19;0.17893;4.40935
20;4;1.83;6;19;-0.72539;1.67889
20;5;1.48;6;19;-0.62484;1.34233
20;6;1.46;6;19;-0.63454;1.31695
20;7;1.19;6;19;-0.59376;1.03384
20;8;0.78;6;19;-0.48105;0.62027
